x_mm,L_mm,r_mag,p_norm
0.000000,2.50,0.95,0.42287662
0.005010,2.50,0.95,1.16755166
0.010020,2.50,0.95,1.70672583
0.015030,2.50,0.95,1.94328308
0.020040,2.50,0.95,1.83508556
0.025050,2.50,0.95,1.40139567
0.030060,2.50,0.95,0.71971810
0.035070,2.50,0.95,0.10498110
0.040080,2.50,0.95,0.88714889
0.045090,2.50,0.95,1.52296163
0.050100,2.50,0.95,1.88898198
0.055110,2.50,0.95,1.91991289
0.060120,2.50,0.95,1.61024835
0.065130,2.50,0.95,1.01518524
0.070140,2.50,0.95,0.24367712
0.075150,2.50,0.95,0.58165655
0.080160,2.50,0.95,1.29543038
0.085170,2.50,0.95,1.78033641
0.090180,2.50,0.95,1.94950323
0.095190,2.50,0.95,1.77280816
0.100200,2.50,0.95,1.28171535
0.105210,2.50,0.95,0.56424114
0.110220,2.50,0.95,0.26144591
0.115230,2.50,0.95,1.03073602
0.120240,2.50,0.95,1.62048271
0.125251,2.50,0.95,1.92300279
0.130261,2.50,0.95,1.88437730
0.135271,2.50,0.95,1.51148199
0.140281,2.50,0.95,0.87084883
0.145291,2.50,0.95,0.08938288
0.150301,2.50,0.95,0.73664243
0.155311,2.50,0.95,1.41404003
0.160321,2.50,0.95,1.84117615
0.165331,2.50,0.95,1.94173488
0.170341,2.50,0.95,1.69781407
0.175351,2.50,0.95,1.15286527
0.180361,2.50,0.95,0.40513225
0.185371,2.50,0.95,0.42219046
0.190381,2.50,0.95,1.16698717
0.195391,2.50,0.95,1.70638480
0.200401,2.50,0.95,1.94322579
0.205411,2.50,0.95,1.83532184
0.210421,2.50,0.95,1.40188301
0.215431,2.50,0.95,0.72036771
0.220441,2.50,0.95,0.10434821
0.225451,2.50,0.95,0.88652137
0.230461,2.50,0.95,1.52252140
0.235471,2.50,0.95,1.88880699
0.240481,2.50,0.95,1.92003392
0.245491,2.50,0.95,1.61064348
0.250501,2.50,0.95,1.01578322
0.255511,2.50,0.95,0.24435253
0.260521,2.50,0.95,0.58098446
0.265531,2.50,0.95,1.29490357
0.270541,2.50,0.95,1.78004873
0.275551,2.50,0.95,1.94950546
0.280561,2.50,0.95,1.77309957
0.285571,2.50,0.95,1.28224351
0.290581,2.50,0.95,0.56490856
0.295591,2.50,0.95,0.26075491
0.300601,2.50,0.95,1.03013778
0.305611,2.50,0.95,1.62009057
0.310621,2.50,0.95,1.92288611
0.315631,2.50,0.95,1.88455649
0.320641,2.50,0.95,1.51192474
0.325651,2.50,0.95,0.87147503
0.330661,2.50,0.95,0.08994362
0.335671,2.50,0.95,0.73599011
0.340681,2.50,0.95,1.41355467
0.345691,2.50,0.95,1.84094387
0.350701,2.50,0.95,1.94179662
0.355711,2.50,0.95,1.69815849
0.360721,2.50,0.95,1.15343038
0.365731,2.50,0.95,0.40581051
0.370741,2.50,0.95,0.42150424
0.375752,2.50,0.95,1.16642254
0.380762,2.50,0.95,1.70604356
0.385772,2.50,0.95,1.94316824
0.390782,2.50,0.95,1.83555787
0.395792,2.50,0.95,1.40237017
0.400802,2.50,0.95,0.72101723
0.405812,2.50,0.95,0.10371620
0.410822,2.50,0.95,0.88589373
0.415832,2.50,0.95,1.52208097
0.420842,2.50,0.95,1.88863177
0.425852,2.50,0.95,1.92015470
0.430862,2.50,0.95,1.61103841
0.435872,2.50,0.95,1.01638107
0.440882,2.50,0.95,0.24502803
0.445892,2.50,0.95,0.58031230
0.450902,2.50,0.95,1.29437659
0.455912,2.50,0.95,1.77976082
0.460922,2.50,0.95,1.94950745
0.465932,2.50,0.95,1.77339074
0.470942,2.50,0.95,1.28277151
0.475952,2.50,0.95,0.56557593
0.480962,2.50,0.95,0.26006391
0.485972,2.50,0.95,1.02953941
0.490982,2.50,0.95,1.61969822
0.495992,2.50,0.95,1.92276918
0.501002,2.50,0.95,1.88473543
0.506012,2.50,0.95,1.51236731
0.511022,2.50,0.95,0.87210112
0.516032,2.50,0.95,0.09050634
0.521042,2.50,0.95,0.73533769
0.526052,2.50,0.95,1.41306913
0.531062,2.50,0.95,1.84071134
0.536072,2.50,0.95,1.94185810
0.541082,2.50,0.95,1.69850268
0.546092,2.50,0.95,1.15399533
0.551102,2.50,0.95,0.40648877
0.556112,2.50,0.95,0.42081798
0.561122,2.50,0.95,1.16585775
0.566132,2.50,0.95,1.70570209
0.571142,2.50,0.95,1.94311044
0.576152,2.50,0.95,1.83579368
0.581162,2.50,0.95,1.40285714
0.586172,2.50,0.95,0.72166667
0.591182,2.50,0.95,0.10308512
0.596192,2.50,0.95,0.88526597
0.601202,2.50,0.95,1.52164034
0.606212,2.50,0.95,1.88845629
0.611222,2.50,0.95,1.92027524
0.616232,2.50,0.95,1.61143313
0.621242,2.50,0.95,1.01697879
0.626253,2.50,0.95,0.24570364
0.631263,2.50,0.95,0.57964007
0.636273,2.50,0.95,1.29384945
0.641283,2.50,0.95,1.77947268
0.646293,2.50,0.95,1.94950918
0.651303,2.50,0.95,1.77368169
0.656313,2.50,0.95,1.28329934
0.661323,2.50,0.95,0.56624323
0.666333,2.50,0.95,0.25937292
0.671343,2.50,0.95,1.02894090
0.676353,2.50,0.95,1.61930566
0.681363,2.50,0.95,1.92265200
0.686373,2.50,0.95,1.88491413
0.691383,2.50,0.95,1.51280968
0.696393,2.50,0.95,0.87272710
0.701403,2.50,0.95,0.09107102
0.706413,2.50,0.95,0.73468517
0.711423,2.50,0.95,1.41258341
0.716433,2.50,0.95,1.84047859
0.721443,2.50,0.95,1.94191934
0.726453,2.50,0.95,1.69884666
0.731463,2.50,0.95,1.15456014
0.736473,2.50,0.95,0.40716700
0.741483,2.50,0.95,0.42013166
0.746493,2.50,0.95,1.16529281
0.751503,2.50,0.95,1.70536040
0.756513,2.50,0.95,1.94305239
0.761523,2.50,0.95,1.83602924
0.766533,2.50,0.95,1.40334394
0.771543,2.50,0.95,0.72231602
0.776553,2.50,0.95,0.10245497
0.781563,2.50,0.95,0.88463810
0.786573,2.50,0.95,1.52119952
0.791583,2.50,0.95,1.88828058
0.796593,2.50,0.95,1.92039552
0.801603,2.50,0.95,1.61182764
0.806613,2.50,0.95,1.01757638
0.811623,2.50,0.95,0.24637935
0.816633,2.50,0.95,0.57896776
0.821643,2.50,0.95,1.29332213
0.826653,2.50,0.95,1.77918430
0.831663,2.50,0.95,1.94951065
0.836673,2.50,0.95,1.77397240
0.841683,2.50,0.95,1.28382701
0.846693,2.50,0.95,0.56691049
0.851703,2.50,0.95,0.25868194
0.856713,2.50,0.95,1.02834226
0.861723,2.50,0.95,1.61891289
0.866733,2.50,0.95,1.92253458
0.871743,2.50,0.95,1.88509259
0.876754,2.50,0.95,1.51325185
0.881764,2.50,0.95,0.87335297
0.886774,2.50,0.95,0.09163761
0.891784,2.50,0.95,0.73403256
0.896794,2.50,0.95,1.41209750
0.901804,2.50,0.95,1.84024559
0.906814,2.50,0.95,1.94198032
0.911824,2.50,0.95,1.69919042
0.916834,2.50,0.95,1.15512480
0.921844,2.50,0.95,0.40784522
0.926854,2.50,0.95,0.41944530
0.931864,2.50,0.95,1.16472772
0.936874,2.50,0.95,1.70501850
0.941884,2.50,0.95,1.94299409
0.946894,2.50,0.95,1.83626456
0.951904,2.50,0.95,1.40383056
0.956914,2.50,0.95,0.72296529
0.961924,2.50,0.95,0.10182576
0.966934,2.50,0.95,0.88401011
0.971944,2.50,0.95,1.52075849
0.976954,2.50,0.95,1.88810461
0.981964,2.50,0.95,1.92051556
0.986974,2.50,0.95,1.61222194
0.991984,2.50,0.95,1.01817385
0.996994,2.50,0.95,0.24705516
1.002004,2.50,0.95,0.57829538
1.007014,2.50,0.95,1.29279465
1.012024,2.50,0.95,1.77889570
1.017034,2.50,0.95,1.94951188
1.022044,2.50,0.95,1.77426289
1.027054,2.50,0.95,1.28435451
1.032064,2.50,0.95,0.56757768
1.037074,2.50,0.95,0.25799096
1.042084,2.50,0.95,1.02774348
1.047094,2.50,0.95,1.61851990
1.052104,2.50,0.95,1.92241690
1.057114,2.50,0.95,1.88527080
1.062124,2.50,0.95,1.51369383
1.067134,2.50,0.95,0.87397873
1.072144,2.50,0.95,0.09220608
1.077154,2.50,0.95,0.73337985
1.082164,2.50,0.95,1.41161141
1.087174,2.50,0.95,1.84001235
1.092184,2.50,0.95,1.94204105
1.097194,2.50,0.95,1.69953396
1.102204,2.50,0.95,1.15568931
1.107214,2.50,0.95,0.40852342
1.112224,2.50,0.95,0.41875889
1.117234,2.50,0.95,1.16416248
1.122244,2.50,0.95,1.70467637
1.127255,2.50,0.95,1.94293553
1.132265,2.50,0.95,1.83649965
1.137275,2.50,0.95,1.40431700
1.142285,2.50,0.95,0.72361448
1.147295,2.50,0.95,0.10119753
1.152305,2.50,0.95,0.88338201
1.157315,2.50,0.95,1.52031727
1.162325,2.50,0.95,1.88792840
1.167335,2.50,0.95,1.92063534
1.172345,2.50,0.95,1.61261603
1.177355,2.50,0.95,1.01877119
1.182365,2.50,0.95,0.24773106
1.187375,2.50,0.95,0.57762292
