L_mm,r_mag,S_mid,contrast_mid,contrast_dB
0.5000,0.0500,0.049998,1.2216,0.87
0.5000,0.0595,0.059492,1.2690,1.03
0.5000,0.0690,0.068986,1.3184,1.20
0.5000,0.0785,0.078481,1.3697,1.37
0.5000,0.0880,0.087975,1.4231,1.53
0.5000,0.0975,0.097470,1.4786,1.70
0.5000,0.1070,0.106964,1.5365,1.87
0.5000,0.1165,0.116459,1.5967,2.03
0.5000,0.1260,0.125953,1.6595,2.20
0.5000,0.1355,0.135448,1.7249,2.37
0.5000,0.1449,0.144942,1.7930,2.54
0.5000,0.1544,0.154437,1.8640,2.70
0.5000,0.1639,0.163931,1.9381,2.87
0.5000,0.1734,0.173426,2.0153,3.04
0.5000,0.1829,0.182920,2.0960,3.21
0.5000,0.1924,0.192415,2.1801,3.38
0.5000,0.2019,0.201909,2.2680,3.56
0.5000,0.2114,0.211404,2.3598,3.73
0.5000,0.2209,0.220898,2.4557,3.90
0.5000,0.2304,0.230393,2.5559,4.08
0.5000,0.2399,0.239887,2.6608,4.25
0.5000,0.2494,0.249381,2.7705,4.43
0.5000,0.2589,0.258876,2.8853,4.60
0.5000,0.2684,0.268370,3.0055,4.78
0.5000,0.2779,0.277865,3.1314,4.96
0.5000,0.2874,0.287359,3.2633,5.14
0.5000,0.2969,0.296854,3.4017,5.32
0.5000,0.3064,0.306348,3.5468,5.50
0.5000,0.3159,0.315843,3.6991,5.68
0.5000,0.3254,0.325337,3.8590,5.86
0.5000,0.3348,0.334832,4.0271,6.05
0.5000,0.3443,0.344326,4.2037,6.24
0.5000,0.3538,0.353821,4.3895,6.42
0.5000,0.3633,0.363315,4.5850,6.61
0.5000,0.3728,0.372810,4.7910,6.80
0.5000,0.3823,0.382304,5.0079,7.00
0.5000,0.3918,0.391799,5.2367,7.19
0.5000,0.4013,0.401293,5.4781,7.39
0.5000,0.4108,0.410788,5.7330,7.58
0.5000,0.4203,0.420282,6.0023,7.78
0.5000,0.4298,0.429776,6.2870,7.98
0.5000,0.4393,0.439271,6.5884,8.19
0.5000,0.4488,0.448765,6.9075,8.39
0.5000,0.4583,0.458260,7.2458,8.60
0.5000,0.4678,0.467754,7.6047,8.81
0.5000,0.4773,0.477249,7.9858,9.02
0.5000,0.4868,0.486743,8.3908,9.24
0.5000,0.4963,0.496238,8.8217,9.46
0.5000,0.5058,0.505732,9.2805,9.68
0.5000,0.5153,0.515227,9.7696,9.90
0.5000,0.5247,0.524721,10.2916,10.12
0.5000,0.5342,0.534216,10.8493,10.35
0.5000,0.5437,0.543710,11.4459,10.59
0.5000,0.5532,0.553205,12.0848,10.82
0.5000,0.5627,0.562699,12.7700,11.06
0.5000,0.5722,0.572194,13.5057,11.31
0.5000,0.5817,0.581688,14.2969,11.55
0.5000,0.5912,0.591183,15.1489,11.80
0.5000,0.6007,0.600677,16.0679,12.06
0.5000,0.6102,0.610172,17.0607,12.32
0.5000,0.6197,0.619666,18.1351,12.59
0.5000,0.6292,0.629160,19.2999,12.86
0.5000,0.6387,0.638655,20.5651,13.13
0.5000,0.6482,0.648149,21.9420,13.41
0.5000,0.6577,0.657644,23.4437,13.70
0.5000,0.6672,0.667138,25.0851,13.99
0.5000,0.6767,0.676633,26.8834,14.29
0.5000,0.6862,0.686127,28.8585,14.60
0.5000,0.6957,0.695622,31.0335,14.92
0.5000,0.7052,0.705116,33.4354,15.24
0.5000,0.7146,0.714611,36.0957,15.57
0.5000,0.7241,0.724105,39.0518,15.92
0.5000,0.7336,0.733600,42.3475,16.27
0.5000,0.7431,0.743094,46.0356,16.63
0.5000,0.7526,0.752589,50.1788,17.01
0.5000,0.7621,0.762083,54.8532,17.39
0.5000,0.7716,0.771578,60.1510,17.79
0.5000,0.7811,0.781072,66.1852,18.21
0.5000,0.7906,0.790567,73.0952,18.64
0.5000,0.8001,0.800061,81.0549,19.09
0.5000,0.8096,0.809555,90.2832,19.56
0.5000,0.8191,0.819050,101.0583,20.05
0.5000,0.8286,0.828544,113.7386,20.56
0.5000,0.8381,0.838039,128.7917,21.10
0.5000,0.8476,0.847533,146.8368,21.67
0.5000,0.8571,0.857028,168.7073,22.27
0.5000,0.8666,0.866522,195.5461,22.91
0.5000,0.8761,0.876017,228.9538,23.60
0.5000,0.8856,0.885511,271.2270,24.33
0.5000,0.8951,0.895006,325.7542,25.13
0.5000,0.9045,0.904500,397.7016,26.00
0.5000,0.9140,0.913995,495.2575,26.95
0.5000,0.9235,0.923489,632.0243,28.01
0.5000,0.9330,0.932984,831.9455,29.20
0.5000,0.9425,0.942478,1140.3712,30.57
0.5000,0.9520,0.951973,1651.8451,32.18
0.5000,0.9615,0.961467,2591.1833,34.13
0.5000,0.9710,0.970962,4606.9075,36.63
0.5000,0.9805,0.980456,10268.4449,40.12
0.5000,0.9900,0.989951,39209.9010,45.93
0.6465,0.0500,0.049997,1.2216,0.87
0.6465,0.0595,0.059491,1.2690,1.03
0.6465,0.0690,0.068985,1.3183,1.20
0.6465,0.0785,0.078480,1.3697,1.37
0.6465,0.0880,0.087974,1.4231,1.53
0.6465,0.0975,0.097468,1.4786,1.70
