x_mm,L_mm,alpha_Npm,S,contrast
0.000000,2.50,0.010,0.799960,80.9640
0.008361,2.50,0.010,0.799960,80.9641
0.016722,2.50,0.010,0.799960,80.9643
0.025084,2.50,0.010,0.799960,80.9644
0.033445,2.50,0.010,0.799961,80.9645
0.041806,2.50,0.010,0.799961,80.9646
0.050167,2.50,0.010,0.799961,80.9647
0.058528,2.50,0.010,0.799961,80.9649
0.066890,2.50,0.010,0.799961,80.9650
0.075251,2.50,0.010,0.799961,80.9651
0.083612,2.50,0.010,0.799961,80.9652
0.091973,2.50,0.010,0.799961,80.9653
0.100334,2.50,0.010,0.799962,80.9655
0.108696,2.50,0.010,0.799962,80.9656
0.117057,2.50,0.010,0.799962,80.9657
0.125418,2.50,0.010,0.799962,80.9658
0.133779,2.50,0.010,0.799962,80.9659
0.142140,2.50,0.010,0.799962,80.9661
0.150502,2.50,0.010,0.799962,80.9662
0.158863,2.50,0.010,0.799963,80.9663
0.167224,2.50,0.010,0.799963,80.9664
0.175585,2.50,0.010,0.799963,80.9665
0.183946,2.50,0.010,0.799963,80.9667
0.192308,2.50,0.010,0.799963,80.9668
0.200669,2.50,0.010,0.799963,80.9669
0.209030,2.50,0.010,0.799963,80.9670
0.217391,2.50,0.010,0.799963,80.9671
0.225753,2.50,0.010,0.799964,80.9673
0.234114,2.50,0.010,0.799964,80.9674
0.242475,2.50,0.010,0.799964,80.9675
0.250836,2.50,0.010,0.799964,80.9676
0.259197,2.50,0.010,0.799964,80.9677
0.267559,2.50,0.010,0.799964,80.9679
0.275920,2.50,0.010,0.799964,80.9680
0.284281,2.50,0.010,0.799965,80.9681
0.292642,2.50,0.010,0.799965,80.9682
0.301003,2.50,0.010,0.799965,80.9683
0.309365,2.50,0.010,0.799965,80.9685
0.317726,2.50,0.010,0.799965,80.9686
0.326087,2.50,0.010,0.799965,80.9687
0.334448,2.50,0.010,0.799965,80.9688
0.342809,2.50,0.010,0.799965,80.9689
0.351171,2.50,0.010,0.799966,80.9691
0.359532,2.50,0.010,0.799966,80.9692
0.367893,2.50,0.010,0.799966,80.9693
0.376254,2.50,0.010,0.799966,80.9694
0.384615,2.50,0.010,0.799966,80.9695
0.392977,2.50,0.010,0.799966,80.9697
0.401338,2.50,0.010,0.799966,80.9698
0.409699,2.50,0.010,0.799967,80.9699
0.418060,2.50,0.010,0.799967,80.9700
0.426421,2.50,0.010,0.799967,80.9701
0.434783,2.50,0.010,0.799967,80.9703
0.443144,2.50,0.010,0.799967,80.9704
0.451505,2.50,0.010,0.799967,80.9705
0.459866,2.50,0.010,0.799967,80.9706
0.468227,2.50,0.010,0.799967,80.9708
0.476589,2.50,0.010,0.799968,80.9709
0.484950,2.50,0.010,0.799968,80.9710
0.493311,2.50,0.010,0.799968,80.9711
0.501672,2.50,0.010,0.799968,80.9712
0.510033,2.50,0.010,0.799968,80.9714
0.518395,2.50,0.010,0.799968,80.9715
0.526756,2.50,0.010,0.799968,80.9716
0.535117,2.50,0.010,0.799969,80.9717
0.543478,2.50,0.010,0.799969,80.9718
0.551839,2.50,0.010,0.799969,80.9720
0.560201,2.50,0.010,0.799969,80.9721
0.568562,2.50,0.010,0.799969,80.9722
0.576923,2.50,0.010,0.799969,80.9723
0.585284,2.50,0.010,0.799969,80.9724
0.593645,2.50,0.010,0.799969,80.9726
0.602007,2.50,0.010,0.799970,80.9727
0.610368,2.50,0.010,0.799970,80.9728
0.618729,2.50,0.010,0.799970,80.9729
0.627090,2.50,0.010,0.799970,80.9730
0.635452,2.50,0.010,0.799970,80.9732
0.643813,2.50,0.010,0.799970,80.9733
0.652174,2.50,0.010,0.799970,80.9734
0.660535,2.50,0.010,0.799971,80.9735
0.668896,2.50,0.010,0.799971,80.9736
0.677258,2.50,0.010,0.799971,80.9738
0.685619,2.50,0.010,0.799971,80.9739
0.693980,2.50,0.010,0.799971,80.9740
0.702341,2.50,0.010,0.799971,80.9741
0.710702,2.50,0.010,0.799971,80.9742
0.719064,2.50,0.010,0.799972,80.9744
0.727425,2.50,0.010,0.799972,80.9745
0.735786,2.50,0.010,0.799972,80.9746
0.744147,2.50,0.010,0.799972,80.9747
0.752508,2.50,0.010,0.799972,80.9748
0.760870,2.50,0.010,0.799972,80.9750
0.769231,2.50,0.010,0.799972,80.9751
0.777592,2.50,0.010,0.799972,80.9752
0.785953,2.50,0.010,0.799973,80.9753
0.794314,2.50,0.010,0.799973,80.9754
0.802676,2.50,0.010,0.799973,80.9756
0.811037,2.50,0.010,0.799973,80.9757
0.819398,2.50,0.010,0.799973,80.9758
0.827759,2.50,0.010,0.799973,80.9759
0.836120,2.50,0.010,0.799973,80.9760
0.844482,2.50,0.010,0.799974,80.9762
0.852843,2.50,0.010,0.799974,80.9763
0.861204,2.50,0.010,0.799974,80.9764
0.869565,2.50,0.010,0.799974,80.9765
0.877926,2.50,0.010,0.799974,80.9766
0.886288,2.50,0.010,0.799974,80.9768
0.894649,2.50,0.010,0.799974,80.9769
0.903010,2.50,0.010,0.799974,80.9770
0.911371,2.50,0.010,0.799975,80.9771
0.919732,2.50,0.010,0.799975,80.9772
0.928094,2.50,0.010,0.799975,80.9774
0.936455,2.50,0.010,0.799975,80.9775
0.944816,2.50,0.010,0.799975,80.9776
0.953177,2.50,0.010,0.799975,80.9777
0.961538,2.50,0.010,0.799975,80.9779
0.969900,2.50,0.010,0.799976,80.9780
0.978261,2.50,0.010,0.799976,80.9781
0.986622,2.50,0.010,0.799976,80.9782
0.994983,2.50,0.010,0.799976,80.9783
1.003344,2.50,0.010,0.799976,80.9785
1.011706,2.50,0.010,0.799976,80.9786
1.020067,2.50,0.010,0.799976,80.9787
1.028428,2.50,0.010,0.799976,80.9788
1.036789,2.50,0.010,0.799977,80.9789
1.045151,2.50,0.010,0.799977,80.9791
1.053512,2.50,0.010,0.799977,80.9792
1.061873,2.50,0.010,0.799977,80.9793
1.070234,2.50,0.010,0.799977,80.9794
1.078595,2.50,0.010,0.799977,80.9795
1.086957,2.50,0.010,0.799977,80.9797
1.095318,2.50,0.010,0.799978,80.9798
1.103679,2.50,0.010,0.799978,80.9799
1.112040,2.50,0.010,0.799978,80.9800
1.120401,2.50,0.010,0.799978,80.9801
1.128763,2.50,0.010,0.799978,80.9803
1.137124,2.50,0.010,0.799978,80.9804
1.145485,2.50,0.010,0.799978,80.9805
1.153846,2.50,0.010,0.799978,80.9806
1.162207,2.50,0.010,0.799979,80.9807
1.170569,2.50,0.010,0.799979,80.9809
1.178930,2.50,0.010,0.799979,80.9810
1.187291,2.50,0.010,0.799979,80.9811
1.195652,2.50,0.010,0.799979,80.9812
1.204013,2.50,0.010,0.799979,80.9813
1.212375,2.50,0.010,0.799979,80.9815
1.220736,2.50,0.010,0.799980,80.9816
1.229097,2.50,0.010,0.799980,80.9817
1.237458,2.50,0.010,0.799980,80.9818
1.245819,2.50,0.010,0.799980,80.9819
1.254181,2.50,0.010,0.799980,80.9821
1.262542,2.50,0.010,0.799980,80.9822
1.270903,2.50,0.010,0.799980,80.9823
1.279264,2.50,0.010,0.799980,80.9824
1.287625,2.50,0.010,0.799981,80.9825
1.295987,2.50,0.010,0.799981,80.9827
1.304348,2.50,0.010,0.799981,80.9828
1.312709,2.50,0.010,0.799981,80.9829
1.321070,2.50,0.010,0.799981,80.9830
1.329431,2.50,0.010,0.799981,80.9831
1.337793,2.50,0.010,0.799981,80.9833
1.346154,2.50,0.010,0.799982,80.9834
1.354515,2.50,0.010,0.799982,80.9835
1.362876,2.50,0.010,0.799982,80.9836
1.371237,2.50,0.010,0.799982,80.9837
1.379599,2.50,0.010,0.799982,80.9839
1.387960,2.50,0.010,0.799982,80.9840
1.396321,2.50,0.010,0.799982,80.9841
1.404682,2.50,0.010,0.799982,80.9842
1.413043,2.50,0.010,0.799983,80.9844
1.421405,2.50,0.010,0.799983,80.9845
1.429766,2.50,0.010,0.799983,80.9846
1.438127,2.50,0.010,0.799983,80.9847
1.446488,2.50,0.010,0.799983,80.9848
1.454849,2.50,0.010,0.799983,80.9850
1.463211,2.50,0.010,0.799983,80.9851
1.471572,2.50,0.010,0.799984,80.9852
1.479933,2.50,0.010,0.799984,80.9853
1.488294,2.50,0.010,0.799984,80.9854
1.496656,2.50,0.010,0.799984,80.9856
1.505017,2.50,0.010,0.799984,80.9857
1.513378,2.50,0.010,0.799984,80.9858
1.521739,2.50,0.010,0.799984,80.9859
1.530100,2.50,0.010,0.799984,80.9860
1.538462,2.50,0.010,0.799985,80.9862
1.546823,2.50,0.010,0.799985,80.9863
1.555184,2.50,0.010,0.799985,80.9864
1.563545,2.50,0.010,0.799985,80.9865
1.571906,2.50,0.010,0.799985,80.9866
1.580268,2.50,0.010,0.799985,80.9868
1.588629,2.50,0.010,0.799985,80.9869
1.596990,2.50,0.010,0.799986,80.9870
1.605351,2.50,0.010,0.799986,80.9871
1.613712,2.50,0.010,0.799986,80.9872
1.622074,2.50,0.010,0.799986,80.9874
1.630435,2.50,0.010,0.799986,80.9875
