d_over_lambda,d_um,Zin_real_MRayl,Zin_imag_MRayl,Zin_mag_MRayl,T_power,T_dB
0.001000,0.0750,12.544231,-0.638308,12.560460,0.82545941,-0.8330
0.003001,0.2251,12.286412,-1.875797,12.428779,0.81687164,-0.8785
0.005002,0.3752,11.801403,-3.001850,12.177200,0.80022436,-0.9679
0.007003,0.5252,11.141974,-3.965366,11.826568,0.77649910,-1.0986
0.009004,0.6753,10.369937,-4.741134,11.402366,0.74699096,-1.2668
0.011005,0.8254,9.544066,-5.327654,10.930375,0.71314685,-1.4682
0.013006,0.9755,8.712390,-5.740418,10.433511,0.67641348,-1.6979
0.015007,1.1255,7.909387,-6.004228,9.930214,0.63811894,-1.9510
0.017008,1.2756,7.156725,-6.146867,9.434124,0.59939802,-2.2228
0.019009,1.4257,6.465769,-6.194968,8.954540,0.56115926,-2.5091
0.021010,1.5758,5.840493,-6.171858,8.497246,0.52408472,-2.8060
0.023011,1.7258,5.280066,-6.096818,8.065375,0.48865102,-3.1100
0.025012,1.8759,4.780832,-5.985152,7.660183,0.45516132,-3.4183
0.027013,2.0260,4.337698,-5.848668,7.281658,0.42378049,-3.7286
0.029014,2.1761,3.945033,-5.696275,6.928985,0.39456847,-4.0388
0.031015,2.3261,3.597214,-5.534578,6.600871,0.36750936,-4.3473
0.033016,2.4762,3.288928,-5.368399,6.295773,0.34253513,-4.6529
0.035017,2.6263,3.015324,-5.201199,6.012043,0.31954422,-4.9547
0.037018,2.7764,2.772063,-5.035425,5.748029,0.29841549,-5.2518
0.039019,2.9264,2.555320,-4.872762,5.502133,0.27901832,-5.5437
0.041020,3.0765,2.361749,-4.714340,5.272842,0.26121974,-5.8299
0.043021,3.2266,2.188445,-4.560881,5.058747,0.24488917,-6.1103
0.045022,3.3767,2.032889,-4.412809,4.858551,0.22990153,-6.3846
0.047023,3.5267,1.892905,-4.270336,4.671066,0.21613902,-6.6527
0.049024,3.6768,1.766610,-4.133522,4.495210,0.20349212,-6.9145
0.051025,3.8269,1.652376,-4.002320,4.330001,0.19185990,-7.1702
0.053026,3.9770,1.548795,-3.876610,4.174550,0.18114998,-7.4196
