d_um,T_5MHz,d_over_lam_5MHz,T_10MHz,d_over_lam_10MHz,T_20MHz,d_over_lam_20MHz,T_50MHz,d_over_lam_50MHz
0.1000,0.82642415,0.000333,0.82606211,0.000667,0.82461712,0.001333,0.81464345,0.003333
0.3002,0.82545796,0.001001,0.82221438,0.002001,0.80949350,0.004003,0.73048202,0.010007
0.5004,0.82353192,0.001668,0.81462464,0.003336,0.78086021,0.006672,0.60573300,0.016680
0.7006,0.82065959,0.002335,0.80350083,0.004671,0.74154887,0.009341,0.48277711,0.023353
0.9008,0.81686099,0.003003,0.78913724,0.006005,0.69495915,0.012011,0.38060808,0.030027
1.1010,0.81216229,0.003670,0.77189582,0.007340,0.64443314,0.014680,0.30165362,0.036700
1.3012,0.80659532,0.004337,0.75218479,0.008675,0.59281902,0.017349,0.24215575,0.043373
1.5014,0.80019712,0.005005,0.73043674,0.010009,0.54227177,0.020019,0.19742599,0.050047
1.7016,0.79300924,0.005672,0.70708821,0.011344,0.49424467,0.022688,0.16352343,0.056720
1.9018,0.78507721,0.006339,0.68256213,0.012679,0.44959162,0.025357,0.13750203,0.063393
2.1020,0.77644975,0.007007,0.65725400,0.014013,0.40871015,0.028027,0.11724813,0.070067
2.3022,0.76717815,0.007674,0.63152205,0.015348,0.37168062,0.030696,0.10126168,0.076740
2.5024,0.75731556,0.008341,0.60568135,0.016683,0.33838116,0.033365,0.08847517,0.083413
2.7026,0.74691629,0.009009,0.58000119,0.018017,0.30857342,0.036035,0.07812197,0.090087
2.9028,0.73603518,0.009676,0.55470529,0.019352,0.28196191,0.038704,0.06964493,0.096760
3.1030,0.72472702,0.010343,0.52997397,0.020687,0.25823254,0.041373,0.06263385,0.103434
3.3032,0.71304595,0.011011,0.50594771,0.022021,0.23707614,0.044043,0.05678275,0.110107
3.5034,0.70104500,0.011678,0.48273149,0.023356,0.21820168,0.046712,0.05186048,0.116780
3.7036,0.68877564,0.012345,0.46039945,0.024691,0.20134279,0.049381,0.04769028,0.123454
3.9038,0.67628743,0.013013,0.43899962,0.026025,0.18626011,0.052051,0.04413547,0.130127
4.1040,0.66362768,0.013680,0.41855831,0.027360,0.17274111,0.054720,0.04108924,0.136800
4.3042,0.65084125,0.014347,0.39908421,0.028695,0.16059865,0.057389,0.03846729,0.143474
4.5044,0.63797031,0.015015,0.38057197,0.030029,0.14966875,0.060059,0.03620255,0.150147
4.7046,0.62505429,0.015682,0.36300536,0.031364,0.13980821,0.062728,0.03424117,0.156820
4.9048,0.61212974,0.016349,0.34635991,0.032699,0.13089220,0.065397,0.03253967,0.163494
5.1050,0.59923030,0.017017,0.33060513,0.034033,0.12281195,0.068067,0.03106269,0.170167
5.3052,0.58638677,0.017684,0.31570637,0.035368,0.11547269,0.070736,0.02978135,0.176840
