d_mm,d_over_lambda,T_power,T_power_dB,amplitude_factor,alpha_Npm,loss_per_wall_dB
0.1000,0.071990,0.98668204,-0.0582,0.993319,42.6836,-0.0371
0.1299,0.093486,0.97609006,-0.1051,0.987973,42.6836,-0.0481
0.1597,0.114982,0.96418363,-0.1584,0.981929,42.6836,-0.0592
0.1896,0.136479,0.95207199,-0.2133,0.975742,42.6836,-0.0703
0.2194,0.157975,0.94079763,-0.2650,0.969947,42.6836,-0.0814
0.2493,0.179471,0.93126935,-0.3092,0.965023,42.6836,-0.0924
0.2792,0.200967,0.92422601,-0.3422,0.961367,42.6836,-0.1035
0.3090,0.222463,0.92022314,-0.3611,0.959283,42.6836,-0.1146
0.3389,0.243959,0.91963257,-0.3639,0.958975,42.6836,-0.1256
0.3687,0.265455,0.92264605,-0.3496,0.960545,42.6836,-0.1367
0.3986,0.286951,0.92927630,-0.3186,0.963990,42.6836,-0.1478
0.4285,0.308447,0.93935224,-0.2717,0.969202,42.6836,-0.1588
0.4583,0.329943,0.95250862,-0.2113,0.975965,42.6836,-0.1699
0.4882,0.351440,0.96817411,-0.1405,0.983958,42.6836,-0.1810
0.5180,0.372936,0.98556528,-0.0631,0.992756,42.6836,-0.1921
0.5479,0.394432,1.00369757,0.0160,1.001847,42.6836,-0.2031
0.5778,0.415928,1.02142490,0.0921,1.010656,42.6836,-0.2142
0.6076,0.437424,1.03751737,0.1600,1.018586,42.6836,-0.2253
0.6375,0.458920,1.05077787,0.2151,1.025075,42.6836,-0.2363
0.6673,0.480416,1.06018540,0.2538,1.029653,42.6836,-0.2474
0.6972,0.501912,1.06503887,0.2737,1.032007,42.6836,-0.2585
0.7271,0.523408,1.06506694,0.2738,1.032021,42.6836,-0.2696
0.7569,0.544904,1.06047362,0.2550,1.029793,42.6836,-0.2806
0.7868,0.566401,1.05190656,0.2198,1.025625,42.6836,-0.2917
0.8166,0.587897,1.04035776,0.1718,1.019979,42.6836,-0.3028
0.8465,0.609393,1.02702507,0.1158,1.013422,42.6836,-0.3138
0.8764,0.630889,1.01316863,0.0568,1.006563,42.6836,-0.3249
0.9062,0.652385,0.99999021,-0.0000,0.999995,42.6836,-0.3360
0.9361,0.673881,0.98854928,-0.0500,0.994258,42.6836,-0.3470
0.9659,0.695377,0.97971674,-0.0890,0.989806,42.6836,-0.3581
0.9958,0.716873,0.97415789,-0.1137,0.986994,42.6836,-0.3692
1.0257,0.738369,0.97233271,-0.1219,0.986069,42.6836,-0.3803
1.0555,0.759865,0.97450227,-0.1122,0.987169,42.6836,-0.3913
1.0854,0.781362,0.98073266,-0.0845,0.990319,42.6836,-0.4024
1.1152,0.802858,0.99089178,-0.0397,0.995435,42.6836,-0.4135
1.1451,0.824354,1.00463804,0.0201,1.002316,42.6836,-0.4245
1.1749,0.845850,1.02140436,0.0920,1.010646,42.6836,-0.4356
1.2048,0.867346,1.04038526,0.1719,1.019993,42.6836,-0.4467
1.2347,0.888842,1.06053885,0.2553,1.029825,42.6836,-0.4577
1.2645,0.910338,1.08061809,0.3367,1.039528,42.6836,-0.4688
1.2944,0.931834,1.09924452,0.4109,1.048449,42.6836,-0.4799
1.3242,0.953330,1.11502969,0.4729,1.055950,42.6836,-0.4910
1.3541,0.974826,1.12673543,0.5182,1.061478,42.6836,-0.5020
1.3840,0.996323,1.13344603,0.5440,1.064634,42.6836,-0.5131
1.4138,1.017819,1.13471240,0.5489,1.065229,42.6836,-0.5242
1.4437,1.039315,1.13062843,0.5332,1.063310,42.6836,-0.5352
1.4735,1.060811,1.12181668,0.4992,1.059158,42.6836,-0.5463
1.5034,1.082307,1.10932846,0.4506,1.053247,42.6836,-0.5574
1.5333,1.103803,1.09448821,0.3921,1.046178,42.6836,-0.5685
1.5631,1.125299,1.07872372,0.3291,1.038616,42.6836,-0.5795
1.5930,1.146795,1.06341824,0.2670,1.031222,42.6836,-0.5906
1.6228,1.168291,1.04980523,0.2111,1.024600,42.6836,-0.6017
1.6527,1.189787,1.03890891,0.1658,1.019269,42.6836,-0.6127
1.6826,1.211284,1.03152207,0.1348,1.015639,42.6836,-0.6238
1.7124,1.232780,1.02820681,0.1208,1.014005,42.6836,-0.6349
1.7423,1.254276,1.02930444,0.1254,1.014546,42.6836,-0.6459
1.7721,1.275772,1.03494337,0.1492,1.017322,42.6836,-0.6570
1.8020,1.297268,1.04503861,0.1913,1.022271,42.6836,-0.6681
1.8319,1.318764,1.05928045,0.2501,1.029214,42.6836,-0.6792
1.8617,1.340260,1.07711494,0.3226,1.037841,42.6836,-0.6902
1.8916,1.361756,1.09772362,0.4049,1.047723,42.6836,-0.7013
1.9214,1.383252,1.12001528,0.4922,1.058308,42.6836,-0.7124
1.9513,1.404748,1.14264625,0.5791,1.068946,42.6836,-0.7234
1.9812,1.426245,1.16408663,0.6599,1.078928,42.6836,-0.7345
2.0110,1.447741,1.18274315,0.7289,1.087540,42.6836,-0.7456
2.0409,1.469237,1.19713454,0.7814,1.094136,42.6836,-0.7566
2.0707,1.490733,1.20609357,0.8138,1.098223,42.6836,-0.7677
2.1006,1.512229,1.20895100,0.8241,1.099523,42.6836,-0.7788
2.1305,1.533725,1.20565082,0.8122,1.098021,42.6836,-0.7899
2.1603,1.555221,1.19676172,0.7801,1.093966,42.6836,-0.8009
2.1902,1.576717,1.18338167,0.7312,1.087833,42.6836,-0.8120
2.2200,1.598213,1.16696587,0.6706,1.080262,42.6836,-0.8231
2.2499,1.619709,1.14912707,0.6037,1.071973,42.6836,-0.8341
2.2798,1.641206,1.13145502,0.5364,1.063699,42.6836,-0.8452
2.3096,1.662702,1.11538416,0.4742,1.056117,42.6836,-0.8563
2.3395,1.684198,1.10211702,0.4223,1.049818,42.6836,-0.8674
2.3693,1.705694,1.09259468,0.3846,1.045273,42.6836,-0.8784
2.3992,1.727190,1.08749767,0.3643,1.042832,42.6836,-0.8895
2.4291,1.748686,1.08725991,0.3633,1.042718,42.6836,-0.9006
2.4589,1.770182,1.09208200,0.3826,1.045027,42.6836,-0.9116
2.4888,1.791678,1.10193474,0.4216,1.049731,42.6836,-0.9227
2.5186,1.813174,1.11654909,0.4788,1.056669,42.6836,-0.9338
2.5485,1.834670,1.13539384,0.5515,1.065549,42.6836,-0.9448
2.5784,1.856167,1.15764809,0.6358,1.075941,42.6836,-0.9559
2.6082,1.877663,1.18218148,0.7268,1.087282,42.6836,-0.9670
2.6381,1.899159,1.20756094,0.8191,1.098891,42.6836,-0.9781
2.6679,1.920655,1.23210549,0.9065,1.110002,42.6836,-0.9891
2.6978,1.942151,1.25400616,0.9830,1.119824,42.6836,-1.0002
2.7277,1.963647,1.27151320,1.0432,1.127614,42.6836,-1.0113
2.7575,1.985143,1.28316844,1.0828,1.132770,42.6836,-1.0223
2.7874,2.006639,1.28803408,1.0993,1.134916,42.6836,-1.0334
2.8172,2.028135,1.28585608,1.0919,1.133956,42.6836,-1.0445
2.8471,2.049631,1.27711176,1.0623,1.130094,42.6836,-1.0555
2.8770,2.071127,1.26292631,1.0138,1.123800,42.6836,-1.0666
