d_pdms_mm,T_one_wall,T_two_walls,T_two_walls_dB,amp_L,amp_R,effective_contrast,effective_contrast_dB,min_force_norm
0.5000,0.974905,0.95043925,-0.2208,0.987373,0.987373,1000000.00,68.24,0.974905
0.5729,1.018600,1.03754605,0.1601,1.009257,1.009257,1000000.00,68.24,1.018600
0.6457,1.053800,1.11049523,0.4552,1.026548,1.026548,1000000.00,68.24,1.053800
0.7186,1.065546,1.13538809,0.5514,1.032253,1.032253,1000000.00,68.24,1.065546
0.7915,1.050263,1.10305307,0.4260,1.024824,1.024824,1000000.00,68.24,1.050263
0.8643,1.018735,1.03782150,0.1612,1.009324,1.009324,1000000.00,68.24,1.018735
0.9372,0.988168,0.97647644,-0.1034,0.994067,0.994067,1000000.00,68.24,0.988168
1.0101,0.972800,0.94633973,-0.2395,0.986306,0.986306,1000000.00,68.24,0.972800
1.0829,0.980069,0.96053475,-0.1749,0.989984,0.989984,1000000.00,68.24,0.980069
1.1558,1.010329,1.02076564,0.0893,1.005151,1.005151,1000000.00,68.24,1.010329
1.2286,1.056435,1.11605447,0.4769,1.027830,1.027830,1000000.00,68.24,1.056435
1.3015,1.103316,1.21730602,0.8540,1.050388,1.050388,1000000.00,68.24,1.103316
1.3744,1.131872,1.28113449,1.0759,1.063895,1.063895,1000000.00,68.24,1.131872
1.4472,1.129812,1.27647422,1.0601,1.062926,1.062926,1000000.00,68.24,1.129812
1.5201,1.101231,1.21270888,0.8376,1.049395,1.049395,1000000.00,68.24,1.101231
1.5930,1.063429,1.13088042,0.5342,1.031227,1.031227,1000000.00,68.24,1.063429
1.6658,1.035192,1.07162163,0.3004,1.017444,1.017444,1000000.00,68.24,1.035192
1.7387,1.028933,1.05870264,0.2477,1.014363,1.014363,1000000.00,68.24,1.028933
1.8116,1.049166,1.10074856,0.4169,1.024288,1.024288,1000000.00,68.24,1.049166
1.8844,1.092582,1.19373585,0.7691,1.045267,1.045267,1000000.00,68.24,1.092582
1.9573,1.147089,1.31581407,1.1919,1.071023,1.071023,1000000.00,68.24,1.147089
2.0302,1.192536,1.42214212,1.5294,1.092033,1.092033,1000000.00,68.24,1.192536
2.1030,1.208909,1.46146158,1.6479,1.099504,1.099504,1000000.00,68.24,1.208909
2.1759,1.190264,1.41672889,1.5129,1.090992,1.090992,1000000.00,68.24,1.190264
2.2487,1.149825,1.32209642,1.2126,1.072299,1.072299,1000000.00,68.24,1.149825
2.3216,1.109662,1.23134910,0.9038,1.053405,1.053405,1000000.00,68.24,1.109662
2.3945,1.087989,1.18372019,0.7325,1.043067,1.043067,1000000.00,68.24,1.087989
2.4673,1.094358,1.19761887,0.7832,1.046116,1.046116,1000000.00,68.24,1.094358
2.5402,1.129775,1.27639256,1.0598,1.062909,1.062909,1000000.00,68.24,1.129775
2.6131,1.186287,1.40727693,1.4838,1.089168,1.089168,1000000.00,68.24,1.186287
2.6859,1.245735,1.55185683,1.9085,1.116125,1.116125,1000000.00,68.24,1.245735
2.7588,1.283520,1.64742456,2.1681,1.132926,1.132926,1000000.00,68.24,1.283520
2.8317,1.282396,1.64453922,2.1604,1.132429,1.132429,1000000.00,68.24,1.282396
2.9045,1.246366,1.55342923,1.9129,1.116408,1.116408,1000000.00,68.24,1.246366
2.9774,1.197416,1.43380509,1.5649,1.094265,1.094265,1000000.00,68.24,1.197416
3.0503,1.159685,1.34487034,1.2868,1.076887,1.076887,1000000.00,68.24,1.159685
3.1231,1.148987,1.32017205,1.2063,1.071908,1.071908,1000000.00,68.24,1.148987
3.1960,1.171320,1.37199044,1.3735,1.082275,1.082275,1000000.00,68.24,1.171320
3.2688,1.223435,1.49679230,1.7516,1.106090,1.106090,1000000.00,68.24,1.223435
3.3417,1.291357,1.66760287,2.2209,1.136379,1.136379,1000000.00,68.24,1.291357
3.4146,1.350076,1.82270581,2.6072,1.161928,1.161928,1000000.00,68.24,1.350076
3.4874,1.372913,1.88489068,2.7529,1.171714,1.171714,1000000.00,68.24,1.372913
3.5603,1.350388,1.82354668,2.6092,1.162062,1.162062,1000000.00,68.24,1.350388
3.6332,1.298668,1.68653961,2.2700,1.139591,1.139591,1000000.00,68.24,1.298668
3.7060,1.246153,1.55289757,1.9114,1.116312,1.116312,1000000.00,68.24,1.246153
3.7789,1.216148,1.47901490,1.6997,1.102791,1.102791,1000000.00,68.24,1.216148
3.8518,1.220822,1.49040680,1.7330,1.104908,1.104908,1000000.00,68.24,1.220822
3.9246,1.262060,1.59279669,2.0216,1.123415,1.123415,1000000.00,68.24,1.262060
3.9975,1.331182,1.77204514,2.4847,1.153769,1.153769,1000000.00,68.24,1.331182
4.0704,1.406535,1.97834201,2.9630,1.185974,1.185974,1000000.00,68.24,1.406535
4.1432,1.456600,2.12168274,3.2668,1.206897,1.206897,1000000.00,68.24,1.456600
4.2161,1.457295,2.12370994,3.2710,1.207185,1.207185,1000000.00,68.24,1.457295
4.2889,1.412043,1.99386546,2.9970,1.188294,1.188294,1000000.00,68.24,1.412043
4.3618,1.348847,1.81938713,2.5993,1.161399,1.161399,1000000.00,68.24,1.348847
4.4347,1.298806,1.68689639,2.2709,1.139652,1.139652,1000000.00,68.24,1.298806
4.5075,1.282009,1.64354690,2.1578,1.132258,1.132258,1000000.00,68.24,1.282009
4.5804,1.306283,1.70637555,2.3207,1.142927,1.142927,1000000.00,68.24,1.306283
4.6533,1.368628,1.87314265,2.7257,1.169884,1.169884,1000000.00,68.24,1.368628
4.7261,1.453141,2.11161838,3.2462,1.205463,1.205463,1000000.00,68.24,1.453141
4.7990,1.529032,2.33793867,3.6883,1.236540,1.236540,1000000.00,68.24,1.529032
4.8719,1.560869,2.43631071,3.8673,1.249347,1.249347,1000000.00,68.24,1.560869
4.9447,1.533947,2.35299329,3.7162,1.238526,1.238526,1000000.00,68.24,1.533947
5.0176,1.467957,2.15489682,3.3343,1.211593,1.211593,1000000.00,68.24,1.467957
5.0905,1.399564,1.95877856,2.9199,1.183032,1.183032,1000000.00,68.24,1.399564
5.1633,1.358613,1.84582928,2.6619,1.165596,1.165596,1000000.00,68.24,1.358613
5.2362,1.360493,1.85094223,2.6739,1.166402,1.166402,1000000.00,68.24,1.360493
5.3090,1.408219,1.98308084,2.9734,1.186684,1.186684,1000000.00,68.24,1.408219
5.3819,1.492547,2.22769776,3.4786,1.221699,1.221699,1000000.00,68.24,1.492547
5.4548,1.587981,2.52168460,4.0169,1.260151,1.260151,1000000.00,68.24,1.587981
5.5276,1.654371,2.73694282,4.3727,1.286223,1.286223,1000000.00,68.24,1.654371
5.6005,1.658240,2.74976131,4.3929,1.287727,1.287727,1000000.00,68.24,1.658240
5.6734,1.601594,2.56510211,4.0910,1.265541,1.265541,1000000.00,68.24,1.601594
5.7462,1.520198,2.31100072,3.6380,1.232963,1.232963,1000000.00,68.24,1.520198
5.8191,1.454241,2.11481544,3.2527,1.205919,1.205919,1000000.00,68.24,1.454241
5.8920,1.429179,2.04255368,3.1017,1.195483,1.195483,1000000.00,68.24,1.429179
5.9648,1.455050,2.11716995,3.2576,1.206254,1.206254,1000000.00,68.24,1.455050
6.0377,1.529342,2.33888566,3.6901,1.236666,1.236666,1000000.00,68.24,1.529342
6.1106,1.634293,2.67091234,4.2666,1.278395,1.278395,1000000.00,68.24,1.634293
