alpha_dBcm_MHz,alpha_Npm,T_10mm,T_10mm_dB,force_norm_10mm,T_5mm,T_5mm_dB,force_norm_5mm,T_3mm,T_3mm_dB,force_norm_3mm,T_1mm,T_1mm_dB,force_norm_1mm
1.0000,8.5367,0.84304536,-0.7415,0.843045,0.91817502,-0.3707,0.918175,0.95006930,-0.2224,0.950069,0.98307147,-0.0741,0.983071
1.1414,9.7439,0.82293440,-0.8463,0.822934,0.90715732,-0.4232,0.907157,0.94321254,-0.2539,0.943213,0.98070078,-0.0846,0.980701
1.2828,10.9512,0.80330319,-0.9512,0.803303,0.89627183,-0.4756,0.896272,0.93640527,-0.2854,0.936405,0.97833581,-0.0951,0.978336
1.4242,12.1584,0.78414028,-1.0561,0.784140,0.88551696,-0.5280,0.885517,0.92964712,-0.3168,0.929647,0.97597654,-0.1056,0.975977
1.5657,13.3656,0.76543451,-1.1609,0.765435,0.87489114,-0.5805,0.874891,0.92293775,-0.3483,0.922938,0.97362295,-0.1161,0.973623
1.7071,14.5728,0.74717497,-1.2658,0.747175,0.86439283,-0.6329,0.864393,0.91627681,-0.3797,0.916277,0.97127505,-0.1266,0.971275
1.8485,15.7800,0.72935101,-1.3706,0.729351,0.85402050,-0.6853,0.854020,0.90966394,-0.4112,0.909664,0.96893280,-0.1371,0.968933
1.9899,16.9872,0.71195225,-1.4755,0.711952,0.84377263,-0.7377,0.843773,0.90309879,-0.4426,0.903099,0.96659621,-0.1475,0.966596
2.1313,18.1944,0.69496853,-1.5803,0.694969,0.83364773,-0.7902,0.833648,0.89658102,-0.4741,0.896581,0.96426525,-0.1580,0.964265
2.2727,19.4016,0.67838996,-1.6852,0.678390,0.82364432,-0.8426,0.823644,0.89011030,-0.5056,0.890110,0.96193991,-0.1685,0.961940
2.4141,20.6089,0.66220688,-1.7901,0.662207,0.81376095,-0.8950,0.813761,0.88368627,-0.5370,0.883686,0.95962017,-0.1790,0.959620
2.5556,21.8161,0.64640985,-1.8949,0.646410,0.80399617,-0.9475,0.803996,0.87730860,-0.5685,0.877309,0.95730603,-0.1895,0.957306
2.6970,23.0233,0.63098965,-1.9998,0.630990,0.79434857,-0.9999,0.794349,0.87097697,-0.5999,0.870977,0.95499748,-0.2000,0.954997
2.8384,24.2305,0.61593731,-2.1046,0.615937,0.78481674,-1.0523,0.784817,0.86469103,-0.6314,0.864691,0.95269449,-0.2105,0.952694
2.9798,25.4377,0.60124404,-2.2095,0.601244,0.77539928,-1.1047,0.775399,0.85845046,-0.6628,0.858450,0.95039705,-0.2209,0.950397
