theta_deg,R_glass,R_glass_dB,T_glass,R_pdms,R_pdms_dB,T_pdms,R_acrylic,R_acrylic_dB,T_acrylic,R_open,R_open_dB,T_open
0.00,0.61966615,-2.0784,0.38033385,0.02781236,-15.5576,0.97218764,0.13793695,-8.6032,0.86206305,0.00000000,-300.0000,1.00000000
0.10,0.61967228,-2.0784,0.38032772,0.02781249,-15.5576,0.97218751,0.13793810,-8.6032,0.86206190,0.00000000,-300.0000,1.00000000
0.20,0.61969067,-2.0783,0.38030933,0.02781288,-15.5575,0.97218712,0.13794155,-8.6030,0.86205845,0.00000000,-300.0000,1.00000000
0.30,0.61972132,-2.0780,0.38027868,0.02781353,-15.5574,0.97218647,0.13794731,-8.6029,0.86205269,0.00000000,-300.0000,1.00000000
0.40,0.61976424,-2.0777,0.38023576,0.02781445,-15.5573,0.97218555,0.13795537,-8.6026,0.86204463,0.00000000,-300.0000,1.00000000
0.50,0.61981943,-2.0773,0.38018057,0.02781562,-15.5571,0.97218438,0.13796574,-8.6023,0.86203426,0.00000000,-300.0000,1.00000000
0.60,0.61988692,-2.0769,0.38011308,0.02781706,-15.5569,0.97218294,0.13797841,-8.6019,0.86202159,0.00000000,-300.0000,1.00000000
0.70,0.61996670,-2.0763,0.38003330,0.02781876,-15.5566,0.97218124,0.13799339,-8.6014,0.86200661,0.00000000,-300.0000,1.00000000
0.80,0.62005881,-2.0757,0.37994119,0.02782071,-15.5563,0.97217929,0.13801067,-8.6009,0.86198933,0.00000000,-300.0000,1.00000000
0.90,0.62016326,-2.0749,0.37983674,0.02782293,-15.5560,0.97217707,0.13803026,-8.6003,0.86196974,0.00000000,-300.0000,1.00000000
1.00,0.62028006,-2.0741,0.37971994,0.02782541,-15.5556,0.97217459,0.13805217,-8.5996,0.86194783,0.00000000,-300.0000,1.00000000
1.10,0.62040924,-2.0732,0.37959076,0.02782816,-15.5552,0.97217184,0.13807638,-8.5988,0.86192362,0.00000000,-300.0000,1.00000000
1.20,0.62055084,-2.0722,0.37944916,0.02783116,-15.5547,0.97216884,0.13810292,-8.5980,0.86189708,0.00000000,-300.0000,1.00000000
1.30,0.62070487,-2.0711,0.37929513,0.02783442,-15.5542,0.97216558,0.13813176,-8.5971,0.86186824,0.00000000,-300.0000,1.00000000
1.40,0.62087137,-2.0700,0.37912863,0.02783795,-15.5536,0.97216205,0.13816293,-8.5961,0.86183707,0.00000000,-300.0000,1.00000000
1.50,0.62105038,-2.0687,0.37894962,0.02784174,-15.5530,0.97215826,0.13819642,-8.5950,0.86180358,0.00000000,-300.0000,1.00000000
1.60,0.62124193,-2.0674,0.37875807,0.02784579,-15.5524,0.97215421,0.13823224,-8.5939,0.86176776,0.00000000,-300.0000,1.00000000
1.70,0.62144606,-2.0660,0.37855394,0.02785010,-15.5517,0.97214990,0.13827038,-8.5927,0.86172962,0.00000000,-300.0000,1.00000000
1.80,0.62166281,-2.0645,0.37833719,0.02785468,-15.5510,0.97214532,0.13831085,-8.5914,0.86168915,0.00000000,-300.0000,1.00000000
1.90,0.62189223,-2.0628,0.37810777,0.02785951,-15.5503,0.97214049,0.13835366,-8.5901,0.86164634,0.00000000,-300.0000,1.00000000
2.00,0.62213437,-2.0612,0.37786563,0.02786461,-15.5495,0.97213539,0.13839880,-8.5887,0.86160120,0.00000000,-300.0000,1.00000000
2.10,0.62238927,-2.0594,0.37761073,0.02786997,-15.5486,0.97213003,0.13844629,-8.5872,0.86155371,0.00000000,-300.0000,1.00000000
2.20,0.62265699,-2.0575,0.37734301,0.02787560,-15.5478,0.97212440,0.13849613,-8.5856,0.86150387,0.00000000,-300.0000,1.00000000
2.30,0.62293759,-2.0556,0.37706241,0.02788148,-15.5468,0.97211852,0.13854831,-8.5840,0.86145169,0.00000000,-300.0000,1.00000000
2.40,0.62323113,-2.0535,0.37676887,0.02788763,-15.5459,0.97211237,0.13860285,-8.5823,0.86139715,0.00000000,-300.0000,1.00000000
2.50,0.62353767,-2.0514,0.37646233,0.02789404,-15.5449,0.97210596,0.13865975,-8.5805,0.86134025,0.00000000,-300.0000,1.00000000
2.60,0.62385726,-2.0491,0.37614274,0.02790072,-15.5438,0.97209928,0.13871901,-8.5786,0.86128099,0.00000000,-300.0000,1.00000000
2.70,0.62419000,-2.0468,0.37581000,0.02790766,-15.5428,0.97209234,0.13878064,-8.5767,0.86121936,0.00000000,-300.0000,1.00000000
2.80,0.62453593,-2.0444,0.37546407,0.02791486,-15.5416,0.97208514,0.13884465,-8.5747,0.86115535,0.00000000,-300.0000,1.00000000
2.90,0.62489514,-2.0419,0.37510486,0.02792233,-15.5405,0.97207767,0.13891103,-8.5726,0.86108897,0.00000000,-300.0000,1.00000000
3.00,0.62526771,-2.0393,0.37473229,0.02793006,-15.5393,0.97206994,0.13897981,-8.5705,0.86102019,0.00000000,-300.0000,1.00000000
3.10,0.62565372,-2.0367,0.37434628,0.02793806,-15.5380,0.97206194,0.13905097,-8.5683,0.86094903,0.00000000,-300.0000,1.00000000
3.20,0.62605325,-2.0339,0.37394675,0.02794632,-15.5368,0.97205368,0.13912453,-8.5660,0.86087547,0.00000000,-300.0000,1.00000000
3.30,0.62646638,-2.0310,0.37353362,0.02795484,-15.5354,0.97204516,0.13920050,-8.5636,0.86079950,0.00000000,-300.0000,1.00000000
3.40,0.62689322,-2.0281,0.37310678,0.02796363,-15.5341,0.97203637,0.13927888,-8.5611,0.86072112,0.00000000,-300.0000,1.00000000
3.50,0.62733386,-2.0250,0.37266614,0.02797269,-15.5327,0.97202731,0.13935967,-8.5586,0.86064033,0.00000000,-300.0000,1.00000000
3.60,0.62778839,-2.0219,0.37221161,0.02798201,-15.5312,0.97201799,0.13944289,-8.5560,0.86055711,0.00000000,-300.0000,1.00000000
3.70,0.62825691,-2.0186,0.37174309,0.02799159,-15.5297,0.97200841,0.13952854,-8.5534,0.86047146,0.00000000,-300.0000,1.00000000
3.80,0.62873954,-2.0153,0.37126046,0.02800145,-15.5282,0.97199855,0.13961663,-8.5506,0.86038337,0.00000000,-300.0000,1.00000000
3.90,0.62923639,-2.0119,0.37076361,0.02801156,-15.5266,0.97198844,0.13970717,-8.5478,0.86029283,0.00000000,-300.0000,1.00000000
4.00,0.62974756,-2.0083,0.37025244,0.02802195,-15.5250,0.97197805,0.13980016,-8.5449,0.86019984,0.00000000,-300.0000,1.00000000
4.10,0.63027317,-2.0047,0.36972683,0.02803260,-15.5234,0.97196740,0.13989562,-8.5420,0.86010438,0.00000000,-300.0000,1.00000000
4.20,0.63081335,-2.0010,0.36918665,0.02804352,-15.5217,0.97195648,0.13999354,-8.5389,0.86000646,0.00000000,-300.0000,1.00000000
4.30,0.63136823,-1.9972,0.36863177,0.02805471,-15.5199,0.97194529,0.14009395,-8.5358,0.85990605,0.00000000,-300.0000,1.00000000
4.40,0.63193793,-1.9933,0.36806207,0.02806616,-15.5182,0.97193384,0.14019684,-8.5326,0.85980316,0.00000000,-300.0000,1.00000000
4.50,0.63252259,-1.9892,0.36747741,0.02807789,-15.5164,0.97192211,0.14030223,-8.5294,0.85969777,0.00000000,-300.0000,1.00000000
4.60,0.63312235,-1.9851,0.36687765,0.02808988,-15.5145,0.97191012,0.14041013,-8.5260,0.85958987,0.00000000,-300.0000,1.00000000
4.70,0.63373736,-1.9809,0.36626264,0.02810214,-15.5126,0.97189786,0.14052055,-8.5226,0.85947945,0.00000000,-300.0000,1.00000000
4.80,0.63436776,-1.9766,0.36563224,0.02811467,-15.5107,0.97188533,0.14063349,-8.5191,0.85936651,0.00000000,-300.0000,1.00000000
4.90,0.63501370,-1.9722,0.36498630,0.02812746,-15.5087,0.97187254,0.14074897,-8.5155,0.85925103,0.00000000,-300.0000,1.00000000
5.00,0.63567536,-1.9676,0.36432464,0.02814053,-15.5067,0.97185947,0.14086699,-8.5119,0.85913301,0.00000000,-300.0000,1.00000000
5.10,0.63635289,-1.9630,0.36364711,0.02815387,-15.5046,0.97184613,0.14098757,-8.5082,0.85901243,0.00000000,-300.0000,1.00000000
5.20,0.63704646,-1.9583,0.36295354,0.02816748,-15.5025,0.97183252,0.14111072,-8.5044,0.85888928,0.00000000,-300.0000,1.00000000
5.30,0.63775626,-1.9535,0.36224374,0.02818136,-15.5004,0.97181864,0.14123645,-8.5005,0.85876355,0.00000000,-300.0000,1.00000000
5.40,0.63848245,-1.9485,0.36151755,0.02819551,-15.4982,0.97180449,0.14136476,-8.4966,0.85863524,0.00000000,-300.0000,1.00000000
5.50,0.63922523,-1.9435,0.36077477,0.02820994,-15.4960,0.97179006,0.14149568,-8.4926,0.85850432,0.00000000,-300.0000,1.00000000
5.60,0.63998480,-1.9383,0.36001520,0.02822463,-15.4937,0.97177537,0.14162921,-8.4885,0.85837079,0.00000000,-300.0000,1.00000000
5.70,0.64076136,-1.9330,0.35923864,0.02823960,-15.4914,0.97176040,0.14176537,-8.4843,0.85823463,0.00000000,-300.0000,1.00000000
5.80,0.64155510,-1.9277,0.35844490,0.02825484,-15.4891,0.97174516,0.14190416,-8.4800,0.85809584,0.00000000,-300.0000,1.00000000
5.90,0.64236625,-1.9222,0.35763375,0.02827036,-15.4867,0.97172964,0.14204561,-8.4757,0.85795439,0.00000000,-300.0000,1.00000000
