freq_kHz,freq_MHz,T_10mm,T_10mm_dB,force_norm_10mm,T_5mm,T_5mm_dB,force_norm_5mm,T_3mm,T_3mm_dB,force_norm_3mm,T_1mm,T_1mm_dB,force_norm_1mm
100.0000,0.100000,0.89125224,-0.5000,0.891252,0.94406157,-0.2500,0.944062,0.96605130,-0.1500,0.966051,0.98855324,-0.0500,0.988553
109.8196,0.109820,0.88123326,-0.5491,0.881233,0.93874025,-0.2745,0.938740,0.96278045,-0.1647,0.962780,0.98743630,-0.0549,0.987436
119.6393,0.119639,0.87132690,-0.5982,0.871327,0.93344893,-0.2991,0.933449,0.95952067,-0.1795,0.959521,0.98632062,-0.0598,0.986321
129.4589,0.129459,0.86153190,-0.6473,0.861532,0.92818743,-0.3236,0.928187,0.95627193,-0.1942,0.956272,0.98520620,-0.0647,0.985206
139.2786,0.139279,0.85184702,-0.6964,0.851847,0.92295559,-0.3482,0.922956,0.95303419,-0.2089,0.953034,0.98409304,-0.0696,0.984093
149.0982,0.149098,0.84227100,-0.7455,0.842271,0.91775324,-0.3727,0.917753,0.94980741,-0.2236,0.949807,0.98298114,-0.0745,0.982981
158.9178,0.158918,0.83280264,-0.7946,0.832803,0.91258021,-0.3973,0.912580,0.94659156,-0.2384,0.946592,0.98187049,-0.0795,0.981870
168.7375,0.168737,0.82344071,-0.8437,0.823441,0.90743634,-0.4218,0.907436,0.94338659,-0.2531,0.943387,0.98076110,-0.0844,0.980761
178.5571,0.178557,0.81418403,-0.8928,0.814184,0.90232146,-0.4464,0.902321,0.94019248,-0.2678,0.940192,0.97965297,-0.0893,0.979653
188.3768,0.188377,0.80503140,-0.9419,0.805031,0.89723542,-0.4709,0.897235,0.93700918,-0.2826,0.937009,0.97854608,-0.0942,0.978546
198.1964,0.198196,0.79598166,-0.9910,0.795982,0.89217804,-0.4955,0.892178,0.93383666,-0.2973,0.933837,0.97744045,-0.0991,0.977440
208.0160,0.208016,0.78703366,-1.0401,0.787034,0.88714917,-0.5200,0.887149,0.93067488,-0.3120,0.930675,0.97633606,-0.1040,0.976336
217.8357,0.217836,0.77818624,-1.0892,0.778186,0.88214865,-0.5446,0.882149,0.92752380,-0.3267,0.927524,0.97523292,-0.1089,0.975233
227.6553,0.227655,0.76943828,-1.1383,0.769438,0.87717631,-0.5691,0.877176,0.92438340,-0.3415,0.924383,0.97413103,-0.1138,0.974131
237.4749,0.237475,0.76078867,-1.1874,0.760789,0.87223200,-0.5937,0.872232,0.92125363,-0.3562,0.921254,0.97303039,-0.1187,0.973030
247.2946,0.247295,0.75223628,-1.2365,0.752236,0.86731556,-0.6182,0.867316,0.91813445,-0.3709,0.918134,0.97193099,-0.1236,0.971931
257.1142,0.257114,0.74378004,-1.2856,0.743780,0.86242683,-0.6428,0.862427,0.91502583,-0.3857,0.915026,0.97083283,-0.1286,0.970833
266.9339,0.266934,0.73541886,-1.3347,0.735419,0.85756566,-0.6673,0.857566,0.91192774,-0.4004,0.911928,0.96973591,-0.1335,0.969736
276.7535,0.276754,0.72715167,-1.3837,0.727152,0.85273189,-0.6919,0.852732,0.90884014,-0.4151,0.908840,0.96864023,-0.1384,0.968640
286.5731,0.286573,0.71897741,-1.4328,0.718977,0.84792536,-0.7164,0.847925,0.90576300,-0.4299,0.905763,0.96754578,-0.1433,0.967546
296.3928,0.296393,0.71089505,-1.4819,0.710895,0.84314592,-0.7410,0.843146,0.90269627,-0.4446,0.902696,0.96645258,-0.1482,0.966453
306.2124,0.306212,0.70290354,-1.5310,0.702904,0.83839343,-0.7655,0.838393,0.89963992,-0.4593,0.899640,0.96536061,-0.1531,0.965361
316.0321,0.316032,0.69500187,-1.5801,0.695002,0.83366772,-0.7901,0.833668,0.89659393,-0.4740,0.896594,0.96426987,-0.1580,0.964270
325.8517,0.325852,0.68718903,-1.6292,0.687189,0.82896865,-0.8146,0.828969,0.89355824,-0.4888,0.893558,0.96318037,-0.1629,0.963180
335.6713,0.335671,0.67946402,-1.6783,0.679464,0.82429607,-0.8392,0.824296,0.89053284,-0.5035,0.890533,0.96209209,-0.1678,0.962092
345.4910,0.345491,0.67182584,-1.7274,0.671826,0.81964983,-0.8637,0.819650,0.88751768,-0.5182,0.887518,0.96100505,-0.1727,0.961005
355.3106,0.355311,0.66427353,-1.7765,0.664274,0.81502977,-0.8883,0.815030,0.88451272,-0.5330,0.884513,0.95991924,-0.1777,0.959919
365.1303,0.365130,0.65680612,-1.8256,0.656806,0.81043576,-0.9128,0.810436,0.88151794,-0.5477,0.881518,0.95883465,-0.1826,0.958835
374.9499,0.374950,0.64942265,-1.8747,0.649423,0.80586764,-0.9374,0.805868,0.87853330,-0.5624,0.878533,0.95775128,-0.1875,0.957751
384.7695,0.384770,0.64212219,-1.9238,0.642122,0.80132527,-0.9619,0.801325,0.87555877,-0.5771,0.875559,0.95666915,-0.1924,0.956669
394.5892,0.394589,0.63490379,-1.9729,0.634904,0.79680850,-0.9865,0.796809,0.87259431,-0.5919,0.872594,0.95558823,-0.1973,0.955588
404.4088,0.404409,0.62776653,-2.0220,0.627767,0.79231719,-1.0110,0.792317,0.86963988,-0.6066,0.869640,0.95450853,-0.2022,0.954509
414.2285,0.414228,0.62070952,-2.0711,0.620710,0.78785120,-1.0356,0.787851,0.86669546,-0.6213,0.866695,0.95343006,-0.2071,0.953430
424.0481,0.424048,0.61373183,-2.1202,0.613732,0.78341038,-1.0601,0.783410,0.86376101,-0.6361,0.863761,0.95235280,-0.2120,0.952353
433.8677,0.433868,0.60683258,-2.1693,0.606833,0.77899459,-1.0847,0.778995,0.86083649,-0.6508,0.860836,0.95127676,-0.2169,0.951277
443.6874,0.443687,0.60001089,-2.2184,0.600011,0.77460370,-1.1092,0.774604,0.85792187,-0.6655,0.857922,0.95020194,-0.2218,0.950202
453.5070,0.453507,0.59326588,-2.2675,0.593266,0.77023755,-1.1338,0.770238,0.85501712,-0.6803,0.855017,0.94912833,-0.2268,0.949128
463.3267,0.463327,0.58659670,-2.3166,0.586597,0.76589601,-1.1583,0.765896,0.85212221,-0.6950,0.852122,0.94805594,-0.2317,0.948056
473.1463,0.473146,0.58000249,-2.3657,0.580002,0.76157895,-1.1829,0.761579,0.84923710,-0.7097,0.849237,0.94698475,-0.2366,0.946985
482.9659,0.482966,0.57348241,-2.4148,0.573482,0.75728621,-1.2074,0.757286,0.84636176,-0.7244,0.846362,0.94591478,-0.2415,0.945915
