L_mm,n_target,f_target_kHz,delta_f_kHz,n_modes_in_bw,node_spacing_mm,organoid_count
1.0000,1,741.5000,741.5000,1,1.000000,1
1.0481,1,707.4732,707.4732,1,1.048096,1
1.0962,1,676.4324,676.4324,0,1.096192,1
1.1443,1,648.0009,648.0009,0,1.144289,1
1.1924,1,621.8630,621.8630,0,1.192385,1
1.2405,1,597.7520,597.7520,0,1.240481,1
1.2886,1,575.4409,575.4409,0,1.288577,1
1.3367,1,554.7354,554.7354,0,1.336673,1
1.3848,1,535.4682,535.4682,0,1.384770,1
1.4329,1,517.4944,517.4944,0,1.432866,1
1.4810,1,500.6881,500.6881,0,1.480962,1
1.5291,2,969.8781,484.9391,0,0.764529,2
1.5772,2,940.3011,470.1506,0,0.788577,2
1.6253,2,912.4747,456.2374,0,0.812625,2
1.6733,2,886.2479,443.1240,0,0.836673,2
1.7214,2,861.4866,430.7433,0,0.860721,2
1.7695,2,838.0713,419.0357,0,0.884770,2
1.8176,2,815.8953,407.9476,0,0.908818,2
1.8657,2,794.8625,397.4313,0,0.932866,2
1.9138,2,774.8869,387.4435,1,0.956914,2
1.9619,2,755.8907,377.9454,1,0.980962,2
2.0100,2,737.8036,368.9018,1,1.005010,2
2.0581,2,720.5618,360.2809,1,1.029058,2
2.1062,2,704.1075,352.0538,1,1.053106,2
2.1543,2,688.3879,344.1940,0,1.077154,2
2.2024,2,673.3549,336.6774,0,1.101202,2
2.2505,2,658.9644,329.4822,0,1.125251,2
2.2986,2,645.1761,322.5881,0,1.149299,2
2.3467,2,631.9530,315.9765,0,1.173347,2
2.3948,2,619.2611,309.6305,0,1.197395,2
2.4429,2,607.0689,303.5345,0,1.221443,2
2.4910,2,595.3475,297.6738,0,1.245491,2
2.5391,3,876.1054,292.0351,0,0.846359,3
2.5872,3,859.8184,286.6061,0,0.862391,3
2.6353,3,844.1259,281.3753,0,0.878424,3
2.6834,3,828.9959,276.3320,0,0.894456,3
2.7315,3,814.3988,271.4663,0,0.910488,3
2.7796,3,800.3068,266.7689,0,0.926520,3
2.8277,3,786.6942,262.2314,1,0.942552,3
2.8758,3,773.5369,257.8456,1,0.958584,3
2.9238,3,760.8125,253.6042,1,0.974616,3
2.9719,3,748.5000,249.5000,1,0.990648,3
3.0200,3,736.5796,245.5265,1,1.006680,3
3.0681,3,725.0330,241.6777,1,1.022712,3
3.1162,3,713.8428,237.9476,1,1.038744,3
3.1643,3,702.9927,234.3309,1,1.054776,3
3.2124,3,692.4676,230.8225,1,1.070808,3
3.2605,3,682.2529,227.4176,0,1.086840,3
3.3086,3,672.3353,224.1118,0,1.102872,3
3.3567,3,662.7018,220.9006,0,1.118904,3
