L_mm,node_index,x_mm,p_sq_glass,p_sq_silicon,F_glass,F_silicon,F_glass_norm,F_silicon_norm,F_gorkov_glass_N,F_gorkov_silicon_N
5.0000,0,0.500000,0.04445936,0.01967040,1.03710570e-02,7.17061424e-03,0.999527,0.999267,2.90632473e-25,2.00945125e-25
5.0000,1,1.500000,0.04446973,0.01967757,1.03722834e-02,7.17192868e-03,0.999645,0.999450,2.90666842e-25,2.00981960e-25
5.0000,2,2.500000,0.04448011,0.01968474,1.03735109e-02,7.17324377e-03,0.999764,0.999634,2.90701241e-25,2.01018814e-25
5.0000,3,3.500000,0.04449048,0.01969192,1.03747375e-02,7.17455820e-03,0.999882,0.999817,2.90735612e-25,2.01055649e-25
5.0000,4,4.500000,0.04450086,0.01969909,1.03759636e-02,7.17587240e-03,1.000000,1.000000,2.90769971e-25,2.01092477e-25
10.0000,0,0.500000,0.04441363,0.01963726,1.03663516e-02,7.16502815e-03,0.998936,0.998352,2.90500611e-25,2.00788584e-25
10.0000,1,1.500000,0.04442399,0.01964443,1.03675780e-02,7.16634245e-03,0.999054,0.998535,2.90534979e-25,2.00825415e-25
10.0000,2,2.500000,0.04443436,0.01965159,1.03688044e-02,7.16765697e-03,0.999173,0.998718,2.90569346e-25,2.00862253e-25
10.0000,3,3.500000,0.04444473,0.01965876,1.03700305e-02,7.16897120e-03,0.999291,0.998901,2.90603707e-25,2.00899082e-25
10.0000,4,4.500000,0.04445510,0.01966593,1.03712579e-02,7.17028650e-03,0.999409,0.999084,2.90638102e-25,2.00935941e-25
10.0000,5,5.500000,0.04446547,0.01967310,1.03724845e-02,7.17160111e-03,0.999527,0.999267,2.90672476e-25,2.00972781e-25
10.0000,6,6.500000,0.04447585,0.01968028,1.03737112e-02,7.17291565e-03,0.999645,0.999451,2.90706852e-25,2.01009619e-25
10.0000,7,7.500000,0.04448622,0.01968745,1.03749373e-02,7.17422987e-03,0.999764,0.999634,2.90741212e-25,2.01046448e-25
10.0000,8,8.500000,0.04449660,0.01969462,1.03761636e-02,7.17554427e-03,0.999882,0.999817,2.90775576e-25,2.01083282e-25
10.0000,9,9.500000,0.04450697,0.01970180,1.03773906e-02,7.17685900e-03,1.000000,1.000000,2.90809963e-25,2.01120125e-25
20.0000,0,0.500000,0.04432221,0.01957106,1.03569327e-02,7.15384880e-03,0.997754,0.996520,2.90236662e-25,2.00475300e-25
20.0000,1,1.500000,0.04433256,0.01957821,1.03581595e-02,7.15516368e-03,0.997873,0.996703,2.90271041e-25,2.00512148e-25
20.0000,2,2.500000,0.04434292,0.01958537,1.03593865e-02,7.15647866e-03,0.997991,0.996886,2.90305425e-25,2.00548998e-25
20.0000,3,3.500000,0.04435328,0.01959252,1.03606133e-02,7.15779349e-03,0.998109,0.997069,2.90339804e-25,2.00585844e-25
20.0000,4,4.500000,0.04436364,0.01959968,1.03618400e-02,7.15910818e-03,0.998227,0.997252,2.90374180e-25,2.00622686e-25
20.0000,5,5.500000,0.04437401,0.01960684,1.03630667e-02,7.16042305e-03,0.998345,0.997436,2.90408557e-25,2.00659533e-25
20.0000,6,6.500000,0.04438437,0.01961400,1.03642940e-02,7.16173831e-03,0.998463,0.997619,2.90442951e-25,2.00696391e-25
20.0000,7,7.500000,0.04439474,0.01962117,1.03655207e-02,7.16305313e-03,0.998582,0.997802,2.90477328e-25,2.00733237e-25
20.0000,8,8.500000,0.04440510,0.01962833,1.03667474e-02,7.16436777e-03,0.998700,0.997985,2.90511703e-25,2.00770078e-25
20.0000,9,9.500000,0.04441547,0.01963549,1.03679742e-02,7.16568268e-03,0.998818,0.998168,2.90546081e-25,2.00806926e-25
20.0000,10,10.500000,0.04442584,0.01964266,1.03692016e-02,7.16699792e-03,0.998936,0.998352,2.90580479e-25,2.00843784e-25
20.0000,11,11.500000,0.04443621,0.01964983,1.03704278e-02,7.16831244e-03,0.999054,0.998535,2.90614842e-25,2.00880621e-25
20.0000,12,12.500000,0.04444658,0.01965700,1.03716549e-02,7.16962750e-03,0.999173,0.998718,2.90649228e-25,2.00917473e-25
20.0000,13,13.500000,0.04445695,0.01966417,1.03728820e-02,7.17094263e-03,0.999291,0.998901,2.90683615e-25,2.00954328e-25
20.0000,14,14.500000,0.04446732,0.01967134,1.03741091e-02,7.17225762e-03,0.999409,0.999084,2.90718004e-25,2.00991178e-25
20.0000,15,15.500000,0.04447770,0.01967851,1.03753358e-02,7.17357246e-03,0.999527,0.999267,2.90752380e-25,2.01028025e-25
20.0000,16,16.500000,0.04448808,0.01968569,1.03765625e-02,7.17488722e-03,0.999645,0.999450,2.90786756e-25,2.01064869e-25
20.0000,17,17.500000,0.04449845,0.01969286,1.03777899e-02,7.17620253e-03,0.999764,0.999634,2.90821153e-25,2.01101728e-25
20.0000,18,18.500000,0.04450883,0.01970004,1.03790168e-02,7.17751743e-03,0.999882,0.999817,2.90855533e-25,2.01138576e-25
20.0000,19,19.500000,0.04451921,0.01970722,1.03802434e-02,7.17883211e-03,1.000000,1.000000,2.90889907e-25,2.01175418e-25
