d_um,d_over_lambda,Zin_re_MRayl,Zin_im_MRayl,Zin_mag_MRayl,T_power,T_power_dB
0.1000,0.000049,12.577119,-0.031637,12.577159,0.82654225,-0.8273
0.2000,0.000099,12.576877,-0.063273,12.577036,0.82653428,-0.8274
0.3000,0.000148,12.576473,-0.094907,12.576831,0.82652100,-0.8275
0.4000,0.000198,12.575908,-0.126537,12.576544,0.82650241,-0.8276
0.5000,0.000247,12.575181,-0.158162,12.576175,0.82647851,-0.8277
0.6000,0.000297,12.574293,-0.189780,12.575725,0.82644930,-0.8278
0.7000,0.000346,12.573243,-0.221392,12.575192,0.82641478,-0.8280
0.8000,0.000395,12.572032,-0.252995,12.574578,0.82637495,-0.8282
0.9000,0.000445,12.570660,-0.284587,12.573881,0.82632982,-0.8285
1.0000,0.000494,12.569127,-0.316169,12.573103,0.82627938,-0.8287
1.1000,0.000544,12.567433,-0.347739,12.572243,0.82622364,-0.8290
1.2000,0.000593,12.565579,-0.379295,12.571302,0.82616261,-0.8293
1.3000,0.000643,12.563563,-0.410836,12.570279,0.82609627,-0.8297
1.4000,0.000692,12.561387,-0.442362,12.569174,0.82602464,-0.8301
1.5000,0.000741,12.559051,-0.473870,12.567988,0.82594772,-0.8305
1.6000,0.000791,12.556555,-0.505360,12.566720,0.82586551,-0.8309
1.7000,0.000840,12.553899,-0.536830,12.565371,0.82577801,-0.8314
1.8000,0.000890,12.551083,-0.568280,12.563941,0.82568523,-0.8319
1.9000,0.000939,12.548107,-0.599707,12.562430,0.82558718,-0.8324
2.0000,0.000989,12.544972,-0.631111,12.560837,0.82548384,-0.8329
2.1000,0.001038,12.541678,-0.662491,12.559163,0.82537524,-0.8335
2.2000,0.001088,12.538225,-0.693845,12.557409,0.82526137,-0.8341
2.3000,0.001137,12.534614,-0.725173,12.555573,0.82514224,-0.8347
2.4000,0.001186,12.530844,-0.756472,12.553657,0.82501785,-0.8354
2.5000,0.001236,12.526917,-0.787742,12.551660,0.82488820,-0.8360
2.6000,0.001285,12.522831,-0.818982,12.549583,0.82475331,-0.8368
2.7000,0.001335,12.518589,-0.850190,12.547425,0.82461318,-0.8375
2.8000,0.001384,12.514189,-0.881366,12.545187,0.82446781,-0.8383
2.9000,0.001434,12.509632,-0.912508,12.542869,0.82431721,-0.8391
3.0000,0.001483,12.504920,-0.943614,12.540471,0.82416138,-0.8399
3.1000,0.001532,12.500051,-0.974684,12.537993,0.82400033,-0.8407
3.2000,0.001582,12.495026,-1.005717,12.535436,0.82383407,-0.8416
3.3000,0.001631,12.489847,-1.036712,12.532799,0.82366260,-0.8425
3.4000,0.001681,12.484512,-1.067666,12.530082,0.82348593,-0.8434
3.5000,0.001730,12.479023,-1.098580,12.527286,0.82330407,-0.8444
3.6000,0.001780,12.473380,-1.129452,12.524411,0.82311702,-0.8454
3.7000,0.001829,12.467583,-1.160281,12.521457,0.82292479,-0.8464
3.8000,0.001878,12.461634,-1.191066,12.518424,0.82272739,-0.8474
3.9000,0.001928,12.455531,-1.221805,12.515313,0.82252482,-0.8485
4.0000,0.001977,12.449276,-1.252497,12.512123,0.82231710,-0.8496
4.1000,0.002027,12.442870,-1.283142,12.508855,0.82210423,-0.8507
4.2000,0.002076,12.436312,-1.313739,12.505509,0.82188622,-0.8519
4.3000,0.002126,12.429603,-1.344285,12.502085,0.82166307,-0.8531
4.4000,0.002175,12.422744,-1.374781,12.498583,0.82143480,-0.8543
4.5000,0.002224,12.415735,-1.405225,12.495004,0.82120142,-0.8555
4.6000,0.002274,12.408577,-1.435615,12.491348,0.82096293,-0.8568
4.7000,0.002323,12.401270,-1.465952,12.487614,0.82071934,-0.8581
4.8000,0.002373,12.393814,-1.496233,12.483804,0.82047067,-0.8594
4.9000,0.002422,12.386212,-1.526458,12.479916,0.82021692,-0.8607
5.0000,0.002472,12.378462,-1.556626,12.475953,0.81995810,-0.8621
5.1000,0.002521,12.370565,-1.586735,12.471913,0.81969422,-0.8635
5.2000,0.002571,12.362523,-1.616785,12.467797,0.81942529,-0.8649
5.3000,0.002620,12.354335,-1.646775,12.463606,0.81915132,-0.8664
5.4000,0.002669,12.346003,-1.676703,12.459338,0.81887233,-0.8678
5.5000,0.002719,12.337526,-1.706568,12.454996,0.81858832,-0.8693
5.6000,0.002768,12.328906,-1.736370,12.450578,0.81829930,-0.8709
5.7000,0.002818,12.320143,-1.766108,12.446086,0.81800528,-0.8724
5.8000,0.002867,12.311237,-1.795780,12.441519,0.81770628,-0.8740
5.9000,0.002917,12.302191,-1.825386,12.436878,0.81740231,-0.8756
6.0000,0.002966,12.293003,-1.854924,12.432162,0.81709338,-0.8773
6.1000,0.003015,12.283675,-1.884394,12.427373,0.81677949,-0.8790
6.2000,0.003065,12.274207,-1.913794,12.422510,0.81646067,-0.8806
6.3000,0.003114,12.264600,-1.943124,12.417574,0.81613691,-0.8824
6.4000,0.003164,12.254855,-1.972383,12.412565,0.81580825,-0.8841
6.5000,0.003213,12.244973,-2.001569,12.407483,0.81547468,-0.8859
6.6000,0.003263,12.234953,-2.030682,12.402329,0.81513622,-0.8877
6.7000,0.003312,12.224798,-2.059722,12.397102,0.81479289,-0.8895
6.8000,0.003361,12.214507,-2.088686,12.391804,0.81444469,-0.8914
6.9000,0.003411,12.204082,-2.117574,12.386433,0.81409164,-0.8933
7.0000,0.003460,12.193522,-2.146386,12.380992,0.81373375,-0.8952
7.1000,0.003510,12.182830,-2.175119,12.375479,0.81337104,-0.8971
7.2000,0.003559,12.172005,-2.203775,12.369896,0.81300352,-0.8991
7.3000,0.003609,12.161048,-2.232351,12.364242,0.81263119,-0.9011
7.4000,0.003658,12.149960,-2.260846,12.358518,0.81225409,-0.9031
7.5000,0.003707,12.138743,-2.289261,12.352724,0.81187221,-0.9051
7.6000,0.003757,12.127396,-2.317593,12.346860,0.81148558,-0.9072
7.7000,0.003806,12.115920,-2.345843,12.340928,0.81109421,-0.9093
7.8000,0.003856,12.104316,-2.374009,12.334926,0.81069810,-0.9114
7.9000,0.003905,12.092586,-2.402090,12.328855,0.81029729,-0.9136
8.0000,0.003955,12.080729,-2.430087,12.322717,0.80989178,-0.9157
8.1000,0.004004,12.068748,-2.457997,12.316510,0.80948158,-0.9179
8.2000,0.004054,12.056641,-2.485821,12.310236,0.80906672,-0.9202
8.3000,0.004103,12.044411,-2.513556,12.303894,0.80864720,-0.9224
8.4000,0.004152,12.032058,-2.541204,12.297485,0.80822305,-0.9247
8.5000,0.004202,12.019583,-2.568762,12.291009,0.80779427,-0.9270
8.6000,0.004251,12.006987,-2.596231,12.284468,0.80736089,-0.9293
8.7000,0.004301,11.994270,-2.623609,12.277860,0.80692292,-0.9317
8.8000,0.004350,11.981434,-2.650895,12.271186,0.80648037,-0.9341
8.9000,0.004400,11.968479,-2.678090,12.264447,0.80603326,-0.9365
9.0000,0.004449,11.955407,-2.705191,12.257643,0.80558161,-0.9389
9.1000,0.004498,11.942217,-2.732200,12.250774,0.80512543,-0.9414
9.2000,0.004548,11.928912,-2.759114,12.243841,0.80466474,-0.9439
9.3000,0.004597,11.915491,-2.785933,12.236844,0.80419956,-0.9464
9.4000,0.004647,11.901957,-2.812657,12.229784,0.80372990,-0.9489
9.5000,0.004696,11.888308,-2.839285,12.222660,0.80325578,-0.9515
9.6000,0.004746,11.874548,-2.865816,12.215473,0.80277721,-0.9540
9.7000,0.004795,11.860675,-2.892249,12.208224,0.80229422,-0.9567
9.8000,0.004844,11.846692,-2.918585,12.200912,0.80180683,-0.9593
9.9000,0.004894,11.832599,-2.944821,12.193539,0.80131504,-0.9620
10.0000,0.004943,11.818398,-2.970959,12.186104,0.80081887,-0.9647
10.1000,0.004993,11.804088,-2.996997,12.178608,0.80031835,-0.9674
10.2000,0.005042,11.789671,-3.022934,12.171051,0.79981349,-0.9701
10.3000,0.005092,11.775148,-3.048770,12.163434,0.79930431,-0.9729
10.4000,0.005141,11.760520,-3.074504,12.155756,0.79879082,-0.9757
10.5000,0.005191,11.745788,-3.100137,12.148019,0.79827305,-0.9785
10.6000,0.005240,11.730952,-3.125667,12.140223,0.79775101,-0.9813
10.7000,0.005289,11.716013,-3.151093,12.132368,0.79722473,-0.9842
10.8000,0.005339,11.700974,-3.176416,12.124455,0.79669421,-0.9871
10.9000,0.005388,11.685833,-3.201634,12.116483,0.79615948,-0.9900
11.0000,0.005438,11.670593,-3.226748,12.108453,0.79562056,-0.9929
11.1000,0.005487,11.655254,-3.251756,12.100367,0.79507746,-0.9959
11.2000,0.005537,11.639818,-3.276659,12.092223,0.79453020,-0.9989
11.3000,0.005586,11.624284,-3.301455,12.084022,0.79397881,-1.0019
11.4000,0.005635,11.608655,-3.326144,12.075765,0.79342330,-1.0050
11.5000,0.005685,11.592931,-3.350727,12.067453,0.79286369,-1.0080
11.6000,0.005734,11.577112,-3.375202,12.059085,0.79230000,-1.0111
11.7000,0.005784,11.561201,-3.399569,12.050661,0.79173226,-1.0142
11.8000,0.005833,11.545198,-3.423827,12.042183,0.79116047,-1.0174
11.9000,0.005883,11.529103,-3.447976,12.033651,0.79058465,-1.0205
12.0000,0.005932,11.512918,-3.472017,12.025065,0.79000484,-1.0237
12.1000,0.005981,11.496645,-3.495947,12.016425,0.78942104,-1.0269
12.2000,0.006031,11.480282,-3.519768,12.007733,0.78883328,-1.0301
12.3000,0.006080,11.463833,-3.543478,11.998987,0.78824158,-1.0334
12.4000,0.006130,11.447297,-3.567077,11.990189,0.78764596,-1.0367
12.5000,0.006179,11.430675,-3.590565,11.981339,0.78704643,-1.0400
12.6000,0.006229,11.413970,-3.613942,11.972438,0.78644302,-1.0433
12.7000,0.006278,11.397180,-3.637206,11.963486,0.78583574,-1.0467
12.8000,0.006327,11.380308,-3.660359,11.954482,0.78522463,-1.0501
12.9000,0.006377,11.363355,-3.683399,11.945429,0.78460969,-1.0535
