L_mm,df_frac,df_kHz,f_actual_kHz,spacing_error_um,contrast_mid_dB,p_sq_mid
5.0000,-0.020000,-14.8300,726.6700,20.4082,18.5665,0.12172879
5.0000,-0.019920,-14.7706,726.7294,20.3247,18.5665,0.12111586
5.0000,-0.019840,-14.7111,726.7889,20.2413,18.5665,0.12050531
5.0000,-0.019760,-14.6517,726.8483,20.1578,18.5665,0.11989714
5.0000,-0.019679,-14.5922,726.9078,20.0744,18.5665,0.11929136
5.0000,-0.019599,-14.5328,726.9672,19.9910,18.5665,0.11868795
5.0000,-0.019519,-14.4734,727.0266,19.9076,18.5665,0.11808694
5.0000,-0.019439,-14.4139,727.0861,19.8242,18.5665,0.11748830
5.0000,-0.019359,-14.3545,727.1455,19.7409,18.5665,0.11689206
5.0000,-0.019279,-14.2951,727.2049,19.6575,18.5665,0.11629820
5.0000,-0.019198,-14.2356,727.2644,19.5742,18.5665,0.11570673
5.0000,-0.019118,-14.1762,727.3238,19.4909,18.5665,0.11511765
5.0000,-0.019038,-14.1167,727.3833,19.4076,18.5665,0.11453096
5.0000,-0.018958,-14.0573,727.4427,19.3243,18.5665,0.11394666
5.0000,-0.018878,-13.9979,727.5021,19.2410,18.5665,0.11336475
5.0000,-0.018798,-13.9384,727.5616,19.1577,18.5665,0.11278524
5.0000,-0.018717,-13.8790,727.6210,19.0745,18.5665,0.11220812
5.0000,-0.018637,-13.8195,727.6805,18.9912,18.5665,0.11163340
5.0000,-0.018557,-13.7601,727.7399,18.9080,18.5665,0.11106107
5.0000,-0.018477,-13.7007,727.7993,18.8248,18.5665,0.11049114
5.0000,-0.018397,-13.6412,727.8588,18.7416,18.5665,0.10992360
5.0000,-0.018317,-13.5818,727.9182,18.6584,18.5665,0.10935847
5.0000,-0.018236,-13.5223,727.9777,18.5752,18.5665,0.10879573
5.0000,-0.018156,-13.4629,728.0371,18.4921,18.5665,0.10823540
5.0000,-0.018076,-13.4035,728.0965,18.4089,18.5664,0.10767746
5.0000,-0.017996,-13.3440,728.1560,18.3258,18.5664,0.10712193
5.0000,-0.017916,-13.2846,728.2154,18.2427,18.5664,0.10656880
5.0000,-0.017836,-13.2252,728.2748,18.1596,18.5664,0.10601808
5.0000,-0.017756,-13.1657,728.3343,18.0765,18.5664,0.10546976
5.0000,-0.017675,-13.1063,728.3937,17.9934,18.5664,0.10492384
5.0000,-0.017595,-13.0468,728.4532,17.9103,18.5664,0.10438033
5.0000,-0.017515,-12.9874,728.5126,17.8273,18.5664,0.10383923
5.0000,-0.017435,-12.9280,728.5720,17.7442,18.5664,0.10330054
5.0000,-0.017355,-12.8685,728.6315,17.6612,18.5664,0.10276426
5.0000,-0.017275,-12.8091,728.6909,17.5782,18.5664,0.10223038
5.0000,-0.017194,-12.7496,728.7504,17.4952,18.5664,0.10169892
5.0000,-0.017114,-12.6902,728.8098,17.4122,18.5664,0.10116987
5.0000,-0.017034,-12.6308,728.8692,17.3293,18.5664,0.10064323
5.0000,-0.016954,-12.5713,728.9287,17.2463,18.5664,0.10011900
5.0000,-0.016874,-12.5119,728.9881,17.1634,18.5664,0.09959719
5.0000,-0.016794,-12.4524,729.0476,17.0804,18.5664,0.09907780
5.0000,-0.016713,-12.3930,729.1070,16.9975,18.5664,0.09856081
5.0000,-0.016633,-12.3336,729.1664,16.9146,18.5664,0.09804625
5.0000,-0.016553,-12.2741,729.2259,16.8317,18.5664,0.09753410
5.0000,-0.016473,-12.2147,729.2853,16.7488,18.5664,0.09702438
5.0000,-0.016393,-12.1553,729.3447,16.6660,18.5664,0.09651707
5.0000,-0.016313,-12.0958,729.4042,16.5831,18.5664,0.09601218
5.0000,-0.016232,-12.0364,729.4636,16.5003,18.5664,0.09550971
5.0000,-0.016152,-11.9769,729.5231,16.4175,18.5664,0.09500966
5.0000,-0.016072,-11.9175,729.5825,16.3347,18.5664,0.09451204
5.0000,-0.015992,-11.8581,729.6419,16.2519,18.5664,0.09401683
5.0000,-0.015912,-11.7986,729.7014,16.1691,18.5664,0.09352405
5.0000,-0.015832,-11.7392,729.7608,16.0863,18.5664,0.09303370
5.0000,-0.015752,-11.6797,729.8203,16.0036,18.5664,0.09254577
5.0000,-0.015671,-11.6203,729.8797,15.9208,18.5664,0.09206027
5.0000,-0.015591,-11.5609,729.9391,15.8381,18.5664,0.09157720
5.0000,-0.015511,-11.5014,729.9986,15.7554,18.5664,0.09109655
5.0000,-0.015431,-11.4420,730.0580,15.6727,18.5664,0.09061833
5.0000,-0.015351,-11.3825,730.1175,15.5900,18.5664,0.09014254
5.0000,-0.015271,-11.3231,730.1769,15.5073,18.5664,0.08966918
5.0000,-0.015190,-11.2637,730.2363,15.4247,18.5664,0.08919825
5.0000,-0.015110,-11.2042,730.2958,15.3420,18.5664,0.08872975
5.0000,-0.015030,-11.1448,730.3552,15.2594,18.5664,0.08826368
5.0000,-0.014950,-11.0854,730.4146,15.1768,18.5664,0.08780005
5.0000,-0.014870,-11.0259,730.4741,15.0942,18.5664,0.08733885
